id,time,Lon,Lat,pH,DO,NH3N,CODMn
2156,2021-07-01 00:00,115.091033,37.319989,8.356667,8.271667,0.020000,7.240000
2156,2021-07-02 00:00,115.091033,37.319989,8.395833,8.485000,0.020000,7.280833
2156,2021-07-03 00:00,115.091033,37.319989,8.355267,7.331236,0.020000,7.153000
2156,2021-07-04 00:00,115.091033,37.319989,8.382200,8.103387,0.020000,7.151000
2156,2021-07-05 00:00,115.091033,37.319989,8.451800,9.707903,0.020000,7.259000
2156,2021-07-06 00:00,115.091033,37.319989,8.521400,11.312419,0.020000,7.367000
2156,2021-07-07 00:00,115.091033,37.319989,8.591000,12.916936,0.020000,7.475000
2156,2021-07-08 00:00,115.091033,37.319989,8.555833,14.521452,0.020000,7.514167
2156,2021-07-09 00:00,115.091033,37.319989,8.510000,15.843333,0.020000,7.585833
2156,2021-07-10 00:00,115.091033,37.319989,8.539167,14.863333,0.020000,7.745000
2156,2021-07-11 00:00,115.091033,37.319989,8.542500,14.285000,0.020000,7.761667
2156,2021-07-12 00:00,115.091033,37.319989,8.413333,9.908333,0.101667,7.463333
2156,2021-07-13 00:00,115.091033,37.319989,8.248333,6.666667,0.200833,7.192500
2156,2021-07-14 00:00,115.091033,37.319989,8.295000,9.538333,0.130833,7.100833
2156,2021-07-15 00:00,115.091033,37.319989,8.224167,7.545833,0.124167,7.080000
2156,2021-07-16 00:00,115.091033,37.319989,8.038333,3.813333,0.152500,6.963333
2156,2021-07-17 00:00,115.091033,37.319989,7.945000,3.045833,0.122500,6.833333
2156,2021-07-18 00:00,115.091033,37.319989,7.902500,2.775000,0.069167,6.718333
2156,2021-07-19 00:00,115.091033,37.319989,7.872500,2.445833,0.028333,6.630833
2156,2021-07-20 00:00,115.091033,37.319989,7.836667,1.938333,0.113333,6.680000
2156,2021-07-21 00:00,115.091033,37.319989,7.808333,1.376667,0.384167,6.858333
2156,2021-07-22 00:00,115.091033,37.319989,7.811667,1.550833,0.506667,6.938333
2156,2021-07-23 00:00,115.091033,37.319989,7.831667,1.900000,0.437500,6.924167
2156,2021-07-24 00:00,115.091033,37.319989,7.863333,2.340833,0.289167,6.797500
2156,2021-07-25 00:00,115.091033,37.319989,7.880000,2.643333,0.151667,6.476667
2156,2021-07-26 00:00,115.091033,37.319989,7.874167,2.735833,0.057500,5.983333
2156,2021-07-27 00:00,115.091033,37.319989,7.858333,2.550833,0.078333,5.680000
2156,2021-07-28 00:00,115.091033,37.319989,7.809167,1.586667,0.219167,5.851667
2156,2021-07-29 00:00,115.091033,37.319989,7.780000,1.346667,0.255000,5.531667
2156,2021-07-30 00:00,115.091033,37.319989,7.809167,1.982500,0.317500,5.207500
2156,2021-07-31 00:00,115.091033,37.319989,7.835833,2.544167,0.409167,5.284167
2156,2021-08-01 00:00,115.091033,37.319989,7.851667,3.130833,0.313333,5.388333
2156,2021-08-02 00:00,115.091033,37.319989,7.871667,3.707500,0.177500,5.418333
2156,2021-08-03 00:00,115.091033,37.319989,7.880000,3.902500,0.087500,5.503333
2156,2021-08-04 00:00,115.091033,37.319989,7.868333,3.394167,0.038333,7.273333
2156,2021-08-05 00:00,115.091033,37.319989,7.825000,2.252500,0.065000,9.726667
2156,2021-08-06 00:00,115.091033,37.319989,7.800000,1.783333,0.113333,7.378333
